minutes,player_name,TS%,AST,TO,USG,ORR,DRR,REBR,PER
0,Sylvester,0.6156154665059562,29.139692498633032,14.797089506444095,38.756368141479285,10.169069638068537,18.45486151759671,14.427798952959806,31.174696140200655
0,Marvin the Martian,0.6074608999477246,36.395386070691366,14.119607186817518,29.835707508791188,5.634866918145291,21.907635956949868,14.523635460690535,25.589724050941616
0,Road Runner,0.6333600876987289,33.07781101901833,13.41462515367998,35.75553809368092,4.572369663806073,30.385171829887344,12.776549832042804,23.266760321974512
0,Foghorn Leghorn,0.6030343790741326,27.97396704888516,15.489410413637824,37.33782560800022,4.86794666053439,15.303496977695326,16.190354123448913,34.83832616975273
0,Bugs Bunny,0.6432164399994653,34.98221751318935,16.093347745762216,31.788843824085518,7.267581577315042,18.397414582618495,13.51089970769141,27.918118445381207
0,Elmer Fudd,0.6093277863601819,29.404364473242257,15.86013930549063,33.78792039062589,4.394796262815733,28.489149998753387,14.569695648496007,22.706207188616045
0,Lola Bunny,0.6443568391359978,34.021840808466344,14.467131164264089,38.8525102400014,4.429283094540075,17.415733203367505,12.513041462667694,32.959697715457665
0,Porky Pig,0.6039565072506011,30.2921401105844,17.01027210250316,38.88269787921061,6.047977862495619,17.70723994382382,13.099357225062596,29.122579601239405
0,Tasmanian Devil,0.6165668842067282,27.73961008415746,14.956672906988448,37.0290312422367,5.0430661173858295,23.24693479800606,9.480707032017893,21.419197589631718
0,Gossamer,0.627433773157801,25.63395619749178,15.449407735019147,34.52872044947413,4.829407460202478,17.798766116511413,13.761813232390008,29.430352463712925
0,Granny,0.6167679971324809,32.709874736151036,14.59054435556388,34.265038398608304,6.383718558076391,17.866089984039068,13.53018568987149,29.085103617533303
0,Wile E. Coyote,0.6198559396769356,30.937254453854056,14.695770369247256,36.455755471809354,4.905928473275171,21.50863454967535,16.48259518276431,32.55319628442648
0,Tweety,0.6272062670086147,23.511081339557343,12.978275966428885,37.84765535115016,5.654962802388951,19.261803004816464,12.771734621575888,30.08309200191349
0,Penelope,0.5971982517482392,25.582717069628707,15.854978470700201,29.848238789706983,8.879837837660169,17.752423571193276,13.080241456319339,22.739887604738794
0,Daffy Duck,0.6426547501027186,28.093685663235107,14.948567393785247,35.849558586867424,5.613972760522659,18.097817463542032,12.931261929086913,30.073785862127504
12,Sylvester,0.6303191262455295,34.133266139631935,15.700757979120388,35.79984981438749,8.429612987757906,13.959687616367951,12.126251814527771,30.25619659311806
12,Marvin the Martian,0.6092407048876531,33.00420502840807,13.480243198002599,29.533538352392295,6.673478472279609,23.75966916019542,15.077476633992514,24.892932438713824
12,Road Runner,0.6193787296615896,27.00952525991758,14.618608692454144,34.736491250770186,6.415465099489808,25.716114102984665,11.373923051081896,21.07619939064202
12,Foghorn Leghorn,0.6096775525823072,31.32623381049356,15.781875704653487,34.82399630425821,8.109959402143769,17.959925060744535,16.388918381663416,31.69413799430915
12,Bugs Bunny,0.6346355869945691,33.93867869844237,16.85287668577105,37.58640490257161,6.806038403359103,21.36547126690693,10.738614095063344,24.806237197430793
